Block_Index,Block_Len,Next_Jump_Size
660,1,41
661,3,695
662,4,1434
663,35,19
664,1,24
665,5,193633
666,9,193605
667,1,1579
668,4,182150
669,6,3973
670,4,25
671,1,52
672,1,57
673,3,4012
674,3,9
675,1,13
676,1,13662689
677,2,11
678,1,9
679,2,21
680,1,13662644
681,2,13969129
682,8,57062
683,5,57071
684,4,1142472
685,5,3246
686,13,5010329
687,11,5010353
688,3,257
689,4,268
690,5,10
691,10,165
692,2,1076200
693,11,12
694,2,9
695,5,27067
696,19,11790351
697,6,11790364
698,5,11790333
699,6,11790346
700,5,9
701,13,9177
702,12,52
703,3,246
704,4,1672448
705,8,790413
706,3,2868
707,8,9
708,34,9
709,7,2695
710,2,790408
711,9,1672414
712,11,94
713,2,415
714,18,96
715,7,12000
716,9,9
717,4,36
718,5,157
719,4,1684441
720,8,790413
721,3,2868
722,8,9
723,34,9
724,7,2695
725,2,790408
726,9,1684407
727,11,75
728,2,295
729,14,104
730,2,9
731,7,21331
732,19,27267
733,5,1076280
734,3,153
735,5,94
736,6,2996
737,2,1142487
738,3,13969086
739,1,13662542
740,6,11
741,8,262099
742,18,262155
743,4,13662476
744,3,4023
745,4,13
746,1,56
747,3,12975940
748,3,9
749,10,1197362
750,3,9
751,9,10
752,3,14
753,2,1197311
754,3,9
755,10,12975840
756,1,9705
757,5,9699
758,2,46
759,2,4048
760,4,182072
761,1,1717
762,3,1278
763,1,27
764,17,9
765,8,69
766,4,9
767,1,41
768,3,695
769,4,1434
770,35,19
771,1,24
772,5,193633
773,9,193605
774,1,1579
775,4,182150
776,6,3973
777,4,25
778,1,52
779,1,57
780,3,4012
781,3,9
782,1,13
783,1,13662689
784,2,11
785,1,9
786,2,21
787,1,13662644
788,2,13969129
789,8,57062
790,5,57071
791,4,1142472
792,5,3246
793,13,5010329
794,11,5010353
795,3,257
796,4,268
797,5,10
798,10,165
799,2,1076200
800,11,12
801,2,9
802,5,27067
803,19,11790351
804,6,11790364
805,5,11790333
806,6,11790346
807,5,9
808,13,9177
809,12,52
810,3,246
811,4,1672448
812,8,790413
813,3,2868
814,8,9
815,34,9
816,7,2695
817,2,790408
818,9,1672414
819,11,94
820,2,415
821,18,96
822,7,12000
823,9,9
824,4,36
825,5,157
826,4,1684441
827,8,790413
828,3,2868
829,8,9
830,34,9
831,7,2695
832,2,790408
833,9,1684407
834,11,75
835,2,295
836,14,104
837,2,9
838,7,21331
839,19,27267
840,5,1076280
841,3,153
842,5,94
843,6,2996
844,2,1142487
845,3,13969086
846,1,13662542
847,6,11
848,8,262099
849,18,262155
850,4,13662476
851,3,4023
852,4,13
853,1,56
854,3,12975940
855,3,9
856,10,1197362
857,3,9
858,9,10
859,3,14
860,2,1197311
861,3,9
862,10,12975840
863,1,9705
864,5,9699
865,2,46
866,2,4048
867,4,182072
868,1,1717
869,3,1278
870,1,27
871,17,9
872,8,69
873,4,9
874,1,41
875,3,695
876,4,1434
877,35,19
878,1,24
879,5,193633
880,9,193605
881,1,1579
882,4,182150
883,6,3973
884,4,25
885,1,52
886,1,57
887,3,4012
888,3,9
889,1,13
890,1,13662689
891,2,11
892,1,9
893,2,21
894,1,13662644
895,2,13969129
896,8,57062
897,5,57071
898,4,1142472
899,5,3246
900,13,5010329
901,11,5010353
902,3,257
903,4,268
904,5,10
905,10,165
906,2,1076200
907,11,12
908,2,9
909,5,27067
910,19,11790351
911,6,11790364
912,5,11790333
913,6,11790346
914,5,9
915,13,9177
916,12,52
917,3,246
918,4,1672448
919,8,790413
920,3,2868
921,8,9
922,34,9
923,7,2695
924,2,790408
925,9,1672414
926,11,94
927,2,415
928,18,96
929,7,12000
930,9,9
931,4,36
932,5,157
933,4,1684441
934,8,790413
935,3,2868
936,8,9
937,34,9
938,7,2695
939,2,790408
940,9,1684407
941,11,75
942,2,295
943,14,104
944,2,9
945,7,21331
946,19,27267
947,5,1076280
948,3,153
949,5,94
950,6,2996
951,2,1142487
952,3,13969086
953,1,13662542
954,6,11
955,8,262099
956,18,262155
957,4,13662476
958,3,4023
959,4,13
960,1,56
961,3,12975940
962,3,9
963,10,1197362
964,3,9
965,9,10
966,3,14
967,2,1197311
968,3,9
969,10,12975840
970,1,9705
971,5,9699
972,2,46
973,2,4048
974,4,182072
975,1,1717
976,3,1278
977,1,27
978,17,9
979,8,69
980,4,9
981,1,41
982,3,695
983,4,1434
984,35,19
985,1,24
986,5,193633
987,9,193605
988,1,1579
989,4,182150
990,6,3973
991,4,25
992,1,52
993,1,57
994,3,4012
995,3,9
996,1,13
997,1,13662689
998,2,11
999,1,9
1000,2,21
1001,1,13662644
1002,2,13969129
1003,8,57062
1004,5,57071
1005,4,1142472
1006,5,3246
1007,13,5010329
1008,11,5010353
1009,3,257
1010,4,268
1011,5,10
1012,10,165
1013,2,1076200
1014,11,12
1015,2,9
1016,5,27067
1017,19,11790351
1018,6,11790364
1019,5,11790333
1020,6,11790346
1021,5,9
1022,13,9177
1023,12,52
1024,3,246
1025,4,1672448
1026,8,790413
1027,3,2868
1028,8,9
1029,34,9
1030,7,2695
1031,2,790408
1032,9,1672414
1033,11,94
1034,2,415
1035,18,96
1036,7,12000
1037,9,9
1038,4,36
1039,5,157
1040,4,1684441
1041,8,790413
1042,3,2868
1043,8,9
1044,34,9
1045,7,2695
1046,2,790408
1047,9,1684407
1048,11,75
1049,2,295
1050,14,104
1051,2,9
1052,7,21331
1053,19,27267
1054,5,1076280
1055,3,153
1056,5,94
1057,6,2996
1058,2,1142487
1059,3,13969086
1060,1,13662542
1061,6,11
1062,8,262099
1063,18,262155
1064,4,13662476
1065,3,4023
1066,4,13
1067,1,56
1068,3,12975940
1069,3,9
1070,10,1197362
1071,3,9
1072,9,10
1073,3,14
1074,2,1197311
1075,3,9
1076,10,12975840
1077,1,9705
1078,5,9699
1079,2,46
1080,2,4048
1081,4,182072
1082,1,1717
1083,3,1278
1084,1,27
1085,17,9
1086,8,69
1087,4,9
1088,1,41
1089,3,695
1090,4,1434
1091,35,19
1092,1,24
1093,5,193633
1094,9,193605
1095,1,1579
1096,4,182150
1097,6,3973
1098,4,25
1099,1,52
1100,1,57
1101,3,4012
1102,3,9
1103,1,13
1104,1,13662689
1105,2,11
1106,1,9
1107,2,21
1108,1,13662644
1109,2,13969129
1110,8,57062
1111,5,57071
1112,4,1142472
1113,5,3246
1114,13,5010329
1115,11,5010353
1116,3,257
1117,4,268
1118,5,10
1119,10,165
1120,2,1076200
1121,11,12
1122,2,9
1123,5,27067
1124,19,11790351
1125,6,11790364
1126,5,11790333
1127,6,11790346
1128,5,9
1129,13,9177
1130,12,52
1131,3,246
1132,4,1672448
1133,8,790413
1134,3,2868
1135,8,9
1136,34,9
1137,7,2695
1138,2,790408
1139,9,1672414
1140,11,94
1141,2,415
1142,18,96
1143,7,12000
1144,9,9
1145,4,36
1146,5,157
1147,4,1684441
1148,8,790413
1149,3,2868
1150,8,9
1151,34,9
1152,7,2695
1153,2,790408
1154,9,1684407
1155,11,75
1156,2,295
1157,14,104
1158,2,9
1159,7,21331
1160,19,27267
1161,5,1076280
1162,3,153
1163,5,94
1164,6,2996
1165,2,1142487
1166,3,13969086
1167,1,13662542
1168,6,11
1169,8,262099
1170,18,262155
1171,4,13662476
1172,3,4023
1173,4,13
1174,1,56
1175,3,12975940
1176,3,9
1177,10,1197362
1178,3,9
1179,9,10
1180,3,14
1181,2,1197311
1182,3,9
1183,10,12975840
1184,1,9705
1185,5,9699
1186,2,46
1187,2,4048
1188,4,182072
1189,1,1717
1190,3,1278
1191,1,27
1192,17,9
1193,8,69
1194,4,9
1195,1,41
1196,3,695
1197,4,1434
1198,35,19
1199,1,24
1200,5,193633
1201,9,193605
1202,1,1579
1203,4,182150
1204,6,3973
1205,4,25
1206,1,52
1207,1,57
1208,3,4012
1209,3,9
1210,1,13
1211,1,13662689
1212,2,11
1213,1,9
1214,2,21
1215,1,13662644
1216,2,13969129
1217,8,57062
1218,5,57071
1219,4,1142472
1220,5,3246
1221,13,5010329
1222,11,5010353
1223,3,257
1224,4,268
1225,5,10
1226,10,165
1227,2,1076200
1228,11,12
1229,2,9
1230,5,27067
1231,19,11790351
1232,6,11790364
1233,5,11790333
1234,6,11790346
1235,5,9
1236,13,9177
1237,12,52
1238,3,246
1239,4,1672448
1240,8,790413
1241,3,2868
1242,8,9
1243,34,9
1244,7,2695
1245,2,790408
1246,9,1672414
1247,11,94
1248,2,415
1249,18,96
1250,7,12000
1251,9,9
1252,4,36
1253,5,157
1254,4,1684441
1255,8,790413
1256,3,2868
1257,8,9
1258,34,9
1259,7,2695
1260,2,790408
1261,9,1684407
1262,11,75
1263,2,295
1264,14,104
1265,2,9
1266,7,21331
1267,19,27267
1268,5,1076280
1269,3,153
1270,5,94
1271,6,2996
1272,2,1142487
1273,3,13969086
1274,1,13662542
1275,6,11
1276,8,262099
1277,18,262155
1278,4,13662476
1279,3,4023
1280,4,13
1281,1,56
1282,3,12975940
1283,3,9
1284,10,1197362
1285,3,9
1286,9,10
1287,3,14
1288,2,1197311
1289,3,9
1290,10,12975840
1291,1,9705
1292,5,9699
1293,2,46
1294,2,4048
1295,4,182072
1296,1,1717
1297,3,1278
1298,1,27
1299,17,9
1300,8,69
1301,4,9
1302,1,41
1303,3,695
1304,4,1434
1305,35,19
1306,1,24
1307,5,193633
1308,9,193605
1309,1,1579
1310,4,182150
1311,6,3973
1312,4,25
1313,1,52
1314,1,57
1315,3,4012
1316,3,9
1317,1,13
1318,1,13662689
1319,2,11
1320,1,9
1321,2,21
1322,1,13662644
1323,2,13969129
1324,8,57062
1325,5,57071
1326,4,1142472
1327,5,3246
1328,13,5010329
1329,11,5010353
